company,country,city,postcode,hall,stand,segment,description,id
IEM Corporation (International Electronic Machines Corp),United States of America,Troy,12180,Hall 23,950,Railway Technology,"International Electronic Machines Corporation (IEM Corporation) established in 1987 is a high-technology research, development and manufacturing firm located in the United States. IEM Corporation focuses on products and services for the railway industry including handheld measurement systems, aut...",1021074
IFB Institut für Bahntechnik GmbH,Germany,Berlin,10587,"CityCube, Hall A",120,Railway Technology,"Service Portfolio:
Wide range of services in consulting, development, planning and research of railway systems and magnetic levitation systems; EBA Approved Technical Experts (EBA - German Federal Railway Authority)

Company Profile:
Around 60 employee, 50 professionals from various disciplines",1021085
IFF Engineering & Consulting GmbH,Germany,Leipzig,04249,Hall 7.2b,100,Railway Technology,"The IFF Engineering & Consulting GmbH is a neutral and independent engineering company with a broad base of know-how and specialist skills in the field of mechanical engineering, especially in the specialist fields of materials handling technology and rail and special vehicles. IFF Engineering & ...",1021090
IFS Copperleaf,United Kingdom,Staines,TW18 3AG,Hall 7.1c,520,Railway Technology; Mobility+,"IFS Copperleaf empowers enterprises to optimize capital deployment, enabling resilient, sustainable, and strategic infrastructure investments aligned with regulatory, ESG, and financial goals.",1226708
Iftec GmbH & Co. KG,Germany,Leipzig,04347,Hall 6.2,755,Railway Technology,"Company information

The Leipzig tram system is one of the largest in Germany. IFTEC - founded in 2005 - continues the tradition of tram maintenance started in 1896. As a joint venture of the Leipziger Verkehrsbetriebe (LVB) GmbH and Siemens AG, we are responsible for the maintenance of the com...",1021098
IGH Automation GmbH,Germany,Ilmenau,98693,Hall 7.2b,200,Railway Technology; World Innovations,"IGH Automation GmbH is a global provider of modular and automated test and inspection systems for rail vehicles. At InnoTrans 2024, IGH will be presenting innovative solutions for digitalization and automation throughout the entire shop floor...",1021127
IGP Pulvertechnik AG,Switzerland,Wil,9500,Hall 8.2,450,Railway Technology,IGP is one of the leading powder coating manufacturers based in Kirchberg SG near Wil SG in Switzerland. The company has a global presence and employs around 600 people.,1209508
IGRALUB,Switzerland,Zürich,8008,Hall 2.2,250,Railway Technology,Igralub as all about resolving curve squealing. Experts in the whole application chain from finding the hot spots to propose the best solutions and measure the success. Products developed and tested in Switzerland under harsh quality criteria.,1021143
igus SE & Co.KG,Germany,Köln,51147,Hall 15.1,465,Railway Technology; Career Point,"The company igus® SE & Co. KG is a worldwide leading manufacturer of energy chain systems, cables, spindles and plastic bearings. The family-run company based in Cologne directly operates in 35 countries, employs around 3.800 people and supplies customers through partners in another 51 countries.",1021145
IHI Corporation,Japan,"Koto-ku, Tokyo",135-8710,Hall 5.2,350,,"IHI Corporation is a comprehensive heavy-industry manufacturer working to create value for customers in four main areas—Resource, Energy and Environment; Social Infrastructure and Offshore Facilities; Industrial Systems and General-purpose Machinery; and Aero Engine, Space and Defence.",1021157
IKOS Group,France,Levallois-Perret,92300,Hall 3.2,210,Railway Technology,IKOS quickly became a leading consultancy in the railway industry recognized for our expertise and unique positioning. We make complex railway projects possible. Our objective is to ease the development of the sector in a world with rapidly expanding urbanization and growing environmental concerns.,1021172
ILF Consulting Engineers,Austria,Rum bei Innsbruck,6063,Hall 5.2,970,Railway Infrastructure,The ILF Group is an international engineering and consulting firm that helps its clients successfully execute technically demanding industrial and infrastructure projects.,1217347
ILGOM TUBI SRL,Italy,ROBASSOMERO,10070,Hall 10.1,270,Railway Technology,,1227219
ILME SpA,Italy,Milano,20149,Hall 12,100,Railway Technology,"Headquartered in Milan, where is also located its technology hub for connections solutions, and with subsidiaries in the key countries driving the progress of automation, ILME is an industry leader in the main world markets.",1021212
"IMATHIA CONSTRUCCION, S.L.",Spain,Madrid,28036,Hall 22,700,Railway Infrastructure,-,1209521
imc Test & Measurement,Germany,Berlin,13355,"CityCube, Hall A",350,World Innovations; Railway Technology,"imc Test & Measurement is a manufacturer and solution provider of productive test & measurement systems. Part of Axiometrix Solutions, a leading test solutions provider comprised of globally-recognized brands, it offers its customers top technological performance along entire measurement chain.",1021250
IMDM SA,Switzerland,Vevey,1800,Hall 2.2,250,Railway Infrastructure,,1021252
ime Elektrotechnik GmbH,Germany,Berlin,10553,"CityCube, Hall B",220,Railway Technology,,1021255
ime Systems Sp. z o. o.,Poland,Torun,87-100,"CityCube, Hall B",220,Railway Technology,,1211739
IMG Solution Zrt. / IT.DOT / INFOPIX,Hungary,Budapest,1023,Hall 2.1,755,Public Transport,"IMG Solution Zrt. is an innovative system integrator with 15+ years of experience, delivering end-to-end IT services and digital solutions. IT.DOT is a leading European provider of passenger information systems, offering scalable railway display and audio solutions with advanced control software.",1031027
IMG Ultrasuoni S.r.l.,Italy,Mandello del Lario,23826,Hall 6.2,510,Railway Technology,"IMG pursues a model based on a balance between innovation, customer satisfaction, economic growth and social responsibility.
Convenience is a choice, but reliability is priceless.",1211246
iMRail Technology GmbH,Germany,Menden,58708,Hall 4.2,380,Public Transport,"Next-Generation Urban Mobility. Platform screen doors, innovative monorail systems, and maglev trains—IMRail develops and delivers smart mobility solutions for the cities of tomorrow.",1227499
in-tech GmbH,Germany,Garching/München,85748,"CityCube, Hall A",240,Railway Technology,"Digital rail requires more than just software: Engineering that understands systems. in-tech combines rail technology expertise with systems engineering, digital signaling, software, safety, and security—from development through certification.",1021738
INAVET - Institut für angewandte Verkehrstelematik GmbH,Germany,Dresden,01159,Hall 7.2b,100,Public Transport,"INAVET GmbH is your reliable partner for minimizing energy costs and enhancing the operational efficiency of your transport company. We specialize in evaluating and integrating driver advisory systems for energy-efficient driving, simplifying driver training and tasks as well as railway operation.",1021348
Inbetriebnahmegesellschaft Transporttechnik mbH,Germany,Salzgitter,38226,"CityCube, Hall A",240,Railway Technology,"IGT – Inbetriebnahmegesellschaft Transporttechnik mbH

Our railway undertaking (RU) and engineering firm have been your trusted partner for technology and railway operations for over 20 years, offering reliability and technical expertise in rail transport.",1227731
Incap Electronics Germany GmbH,Germany,Karlsfeld,85757,"CityCube, Hall A; Hall 8.1",160; 240,Railway Technology,Coming soon …,1226524
Incremental Solutions Ltd,United Kingdom,York,YO1 6GA,Hall 2.2,460,Railway Technology,"Incremental Solutions helps rail organisations turn complex operational, infrastructure and GNSS/GPS positioning data into clear, real-time insight. Our software supports safer operations, stronger performance, faster decision-making and more efficient, resilient railways.",1226356
Incyde industrial cyber defense GmbH,Germany,Berlin,10117,"CityCube, Hall A",240,Railway Technology,"INCYDE Turns your Industrial Cyber Defense on!
As experts in IT/OT we support you through the end-to-end project process and apply security-by-design within the operation life cycle. 
INCYDE combinen deep Rail system knowledge with Cybersecurity expertise to make your cyber security a success!",1021373
Indra Group,Spain,Alcobendas,28108,Hall 4.1,610,Railway Technology; World Innovations,"Indra Group is one of the main global defence, aerospace and technology company. Its business model is based on a comprehensive range of proprietary products with a significant innovative component, making it the technological partner for the digitization and key operations of its.",1021430
INDUSTRIAL DE TRANSFORMADOS SA,Spain,LA BISBAL DEL PENEDES,43717,Hall 3.1,430,Interiors,"ITSA is a Spanish group specialized in the design and manufacturing of turnkey Railway Interior panelling. We optimize go-to-market, costs, weights, and assembly time through our technologies and engineering. Our core business is plastic composites transformation with SMC and plastic injection.",1021438
Industrial Technology Research Institute,Taiwan,"Zhudong Township, Hsinchu County",310401,Hall 11.2,310,Railway Technology,,1227076
Industrie-Partner GmbH Radebeul-Coswig,Germany,Coswig,01640,Hall 23,910,Railway Technology,"IP RailEquipment is your reliable technology partner for testing and measurement equipment in the railway sector. We develop, manufacture and supply innovative brake testing units, measuring devices and maintenance equipment for rail transport.",1021458
Industrilas AG,Germany,Gevelsberg,58285,Hall 3.1,460,Interiors,"Industrilas designs, develops and manufactures locking, latching, hinging and sealing solutions. Products for railway are verified to applicable standards for vibration resistance, fire safety, corrosion and severe weather conditions, such as: DIN EN 61373, EN 45545-2 (HL3), UL50, UL50E, UL94HB.",1021462
Ineco,Spain,madrid,28036,Hall 5.2,165,World Innovations; Railway Infrastructure,"Ineco is a leading engineering and consultancy company expert in sustainable mobility and digital transformation. For more than 50 years, it has been providing comprehensive, innovative and technological solutions in order to advance towards a new model of mobility.",1021464
Inelmatic Electronics,Spain,Valladolid,47151,Hall 6.1,545,Railway Technology,,1225780
INEO,France,Courbevoie,92400,Hall 22,340,Railway Infrastructure,"Equans delivers innovative rail and urban transport solutions through Axima Ventilation Systems, Ineo Scle Ferroviaire, Icomera, Ineo UTS, Systrans and PowerLines. From electrification and signalling to ventilation and major projects, it boosts safety, performance and sustainability worldwide.",1225196
INEO SCLE FERROVIAIRE SAS,France,TOULOUSE CEDEX 2,31201,Hall 22,340,Railway Infrastructure,"Equans delivers innovative rail and urban transport solutions through Axima Ventilation Systems, Ineo Scle Ferroviaire, Icomera, Ineo UTS, Systrans and PowerLines. From electrification and signalling to ventilation and major projects, it boosts safety, performance and sustainability worldwide.",1225197
Infinitive Group Limited,United Kingdom,Milton Keynes,MK1 1FB,Hall 4.1,330,Public Transport,"Infinitive Group combines consultancy, engineering technology and specialist resourcing expertise to support the transport sector. We connect operational know-how, technology and talent to help clients deliver, sustain and improve critical transport infrastructure and services.",1021477
Infodev Electronic Designers International inc.,Canada,Quebec,G1W2K6,Hall 2.1,800,Public Transport,"Infodev is a pioneer in AI-based automatic passenger counting (APC) without facial recognition, delivering up to 99.8% accuracy and reliable real-time occupancy data for planning, operations and passenger-facing applications.",1214409
infoteam Software AG,Germany,Bubenreuth,91088,Hall 27,745,Public Transport,"The infoteam Software Group has been implementing specific software solutions for industry, infrastructure, life science and public service markets for more than 40 years and employs more than 250 people in Europe. The headquarter is in the metropolitan region of Nuremberg.",1021509
INFRA LLC,Uzbekistan,Tashkent,100007,Hall 26,500,Railway Infrastructure,,1227851
infra-tec GmbH,Germany,Hachenburg,57627,Hall 26,870,Railway Infrastructure,"infra-tec is responsible for the planning, foundation works, design, and installation of noise barriers, signal gantries, and roof systems in infrastructure construction. The company plans and constructs services and products according to the planning and manufacturing requirements of Deutsche Bahn.",1021519
Infrabel,Belgium,Brussels,1060,Hall 11.2,265,Railway Infrastructure,"Infrabel, as railway infrastructure manager, is responsible for the construction, maintenance and management of the Belgian railway network. TUC RAIL offers a specialised end-to-end expertise regarding the implementation of complex and multidisciplinary railway projects.",1021514
INFRACERT d.o.o.,Croatia,Zagreb,10000,Hall 11.1,220,Railway Infrastructure,"Our advantage is our extensive experience in the certification of subsystems and interoperability components, supported by the implementation of number of processes in Croatia and Europe.",1220681
INFRACERT TSI Sp. z o.o.,Poland,Warsaw,03-719,Hall 11.1,220,Railway Infrastructure,,1021516
infraView GmbH,Germany,Mainz,55116,"CityCube, Hall A",110,World Innovations; Railway Technology,"Intelligent Railways for a Sustainable Future - Over 10 years of experience with IoT and AI software engineering for predictive maintenance, digital twins and sensor fusion for the entire railway life cycle",1021520
INFRAVIS,United States of America,Norcross,30071,Hall 23,220,Railway Technology,"Infravis delivers advanced wayside rolling stock condition monitoring, combining sensing, imaging, AI-enhanced analytics and data integration with practical, operator-centered systems designed to improve railway safety, reliability and efficiency.",1222821
INGEROP,Spain,Madrid,28001,Hall 5.2,910,Railway Infrastructure,"Ingerop Engineering and Consulting Group

3,700 employees worldwide
507 M€ turnover in 2025
31% of this turnover was generated internationally
Over 100 locations around the world
7 core activities",1211145
Ingeteam Power Technology S.A.,Spain,Zamudio,48170,Hall 27; Hall 9,615; 870,Railway Infrastructure; Railway Technology,"INGETEAM designs and supplies complete traction systems & converters , control (TCMS & Subsystem controllers) and predictive maintenance solutions, based on in-house developments of power and control electronics.",1021543
InHand Networks,Germany,Düsseldorf,40212,Hall 6.1,565,Public Transport,"InHand Networks, founded in 2001, is a global IoT solutions provider delivering industrial-grade connectivity for enterprise networks, industrial IoT, digital energy, smart retail, transportation, and other industries across 60+ countries.",1216052
INIT Group,Germany,Karlsruhe,76131,Hall 2.1,425,Public Transport; World Innovations; AI,"INIT is the worldwide leading supplier of integrated planning, dispatching, telematics and ticketing systems for buses and trains. For more than 40 years, INIT has been assisting transport companies in making public transport more attractive, reliable and more efficient.

More than 1,400 transpor...",1021558
INLOCON AG,Germany,Leipzig,04229,Hall 26,390,Railway Infrastructure,Alle Ausschreibungen der DACH Staaten für Schienenverkehr und ÖPNV  tagaktuell im SCHIENENVERKEHRSPORTAL.DE !,1177390
innoflex GmbH,Germany,Halle (Saale),06110,Hall 2.2,410,Public Transport,,1225258
INNOGLASS SDN BHD,Malaysia,Rawang,48000,Hall 10.1,220,Railway Technology,,1211899
Innokrea sp. z o.o.,Poland,Gdańsk,80-386,Hall 7.1c,315,Public Transport,"INNOKREA supports public transport operators, cities and mobility technology providers in designing and developing IT systems that streamline operations, provide real control over data and support sustainable mobility in regulated environments.",1218833
Innolux Corporation,Taiwan,Tainan,74147,Hall 11.2,310,Interiors,,1211181
InnoTix AG,Switzerland,Zürich,8045,Hall 2.1,820,Public Transport,The Electronic Driver Bag is the interface to drivers of your public transport fleet.,1021602
InnoTrans Asia,Singapore,Singapore,486150,"CityCube, Hall B",305,,"InnoTrans Asia debuts at Singapore EXPO from 7–9 September 2027, connecting transport industry leaders from Asia and around the world.",1027179
InnoTrans T-Shirt Shop / Meeting Point,Germany,Berlin,14055,Hall 13,Meetingpoint & 30th Anniversary Merch,,"Celebrate 30 years of InnoTrans! Get the limited-edition Anniversary T-shirt exclusively in Hall 13. Exhibitors receive two free vouchers, visitors can purchase the shirt for €25. Available in sizes XS–XXL while stocks last – first come, first served!",1227250
Innovation Factory Limited,United Kingdom,BIRMINGHAM,B1 2LP,Hall 2.2,460,Railway Technology,"Innovation Factory Limited is an award-winning UK AI company developing intelligent sensor technologies that protect people, infrastructure, and wildlife. Its flagship platform, DeterCam, combines edge AI, computer vision, and automated deterrence to detect and respond to animals and security threat",1212835
Inotec electronics GmbH,Germany,Lauffen a. N.,74348,Hall 12,200,Railway Technology,"Since more than 40 years, Inotec recognized the necessity for optimal EMI/RFI Shielding of data transmission systems. As a logical advancement, Inotec developed a series of full metal hoods for Sub-D connectors with a unique crimp flange technique for multiconductor cables which became a must for...",1021641
inovus engineering GmbH,Switzerland,Tägerwilen,8274,Hall 1.1,230,Interiors,Holistic construction services for flexible and industrial projects delivered on time,1021656
inpotron Schaltnetzteile GmbH,Germany,Hilzingen,78247,Hall 17,240,Railway Technology; Public Transport,"For more than 25 years, INPOTRON has developed and manufactured customized power supply solutions for railway applications. Visit us at InnoTrans to discover reliable AC/DC and DC/DC converters, battery chargers and UPS systems engineered for maximum performance, availability and long-term reliabili",1021661
INSPECTRAIL SL,Spain,San Sebastián,20009,Hall 23,130,Railway Infrastructure,"InspectRail turns any train into a track inspection vehicle. From periodic auscultation campaigns to continuous, daily monitoring of railway infrastructure — on every commercial run. The new standard in condition-based maintenance.",1210891
"Institut ""Mihajlo Pupin"" d.o.o. Beograd",Serbia,Belgrade,11060,Hall 27,840,Railway Technology; World Innovations,"The Institue Mihajlo Pupin doo Belgrade provides turnkey solutions in the railway signaling, telecommunication, and radio systems, starting from own design, engineering, development of technical solutions and products, its installation, commissioning, and maintenance, and after-sales services.",1021693
Institute of Spring Technology,United Kingdom,Sheffield,S3 7EQ,Hall 8.2,455,Railway Technology,"We are a unique centre of excellence for spring technology, advising and supporting businesses in every aspect of the spring supply chain.

We help companies design and manufacture safe, effective and reliable springs through our software, failure analysis problem-solving and testing services.",1227677
"InSynerger Technology Co., Ltd.",Taiwan,Taipei City,105412,Hall 11.2,310,Railway Technology,,1227067
INTECMA Anlagentechnik GmbH,Germany,Leipzig,04109,Hall 7.2b,200,Railway Technology,"INTECMA Anlagentechnik GmbH, headquartered in Leipzig, has been a reliable and innovative service provider and partner to the rail mobility sector for over 25 years.",1222194
InTeEx AB,Sweden,Sandviken,81193,Outdoor Display,O/375,Railway Technology,,1226182
INTEM S.R.L.,Italy,VIMERCATE,20871,Hall 9,351,Railway Infrastructure,,1226218
INTERAUTOMATION Deutschland GmbH,Germany,Berlin,13158,"CityCube, Hall B",320,,"INTERAUTOMATION develops intelligent solutions for rail and public transport. Our portfolio includes real-time operational data systems, Automatic Passenger Counting, Passenger Information Systems, mobile applications, and railway-certified AI-enabled onboard computers and AI applications.",1021779
INTERCABLE TOOLS GmbH,Germany,Remscheid,42897,Hall 25,665,Railway Infrastructure,"Intercable Tools is one of the world’s leading manufacturers of tools for processing low- and medium-voltage cables, as well as connection materials for the electrical, wind, and railway earthing devices.",1021782
InterEngineer GmbH,Germany,Kollmar,25377,"CityCube, Hall A",420,Railway Technology,"The InterEngineer Group delivers independent engineering, ETCS retrofit, safety, authorization, and training services for the railway industry. With over 20 years of experience, we support operators, manufacturers, and leasing companies in successful rail modernization projects.",1021819
Intermas-Elcom GmbH,Germany,Darmstadt,64293,Hall 15.1,220,Railway Technology,"Modular Assembly Systems Intermas......... more than 10.000 components to package your electronics. As one of the pioneers in the field of electronic packaging to DIN, VME, Multibus II and IEC specifications Intermas has been developing, manufacturing and marketing modular assembly systems: case...",1021839
intermetric GmbH,Germany,Stuttgart,70565,Hall 26,290,Railway Infrastructure; Career Point,"intermetric GmbH is your competent partner for the right measure on tracks - since 1967.

We survey for all track related constructions.  
We run state of the art automatic geomoniring systems.
We support your construction team when in geometrical trouble
The right measure on track on time.",1021843
Intermodal logistics solution,Slovakia,Bratislava,81102,Hall 10.1,230,Railway Infrastructure,,1227567
"Internacional Hispacold, S.A.",Spain,Seville,41016,Hall 3.1,360,Interiors,"HISPACOLD RAILWAY HVAC SOLUTIONS: specialist in passengers’ comfort with first-class engineering quality. With more than 45 years of experience, it designs, manufactures and distributes HVAC systems for all rail vehicles: trams, metros, EMUs, DMUs, LRVs with proven and reliable technology solutions.",1021845
"International Integrated Systems, Inc. (IISI)",Taiwan,"Banqiao Dist., New Taipei City",220229,Hall 11.2,310,Railway Technology,"Founded in 2008, International Integrated Systems, Inc. (IISI) is committed to becoming Taiwan’s leading brand in digital transformation and sustainable development solutions. Leveraging over 30 years of expertise in IT system integration and software development, IISI supports governments and enter",1227091
International Monorail Association,Switzerland,Münsingen,3110,Hall 4.2,100,Public Transport,"The purpose of the International Monorail Association is to promote the use of monorail technology worldwide, publish information about monorail technology, and establish performance standards for monorails as a mass transit solution.",1211211
International Rail Catering Group,Czechia,Prague 4,141 00,Hall 1.1,110,Travel Catering & Comfort Services; Public Transport,"IRCG members are all experts in their own areas of the food travel market – regionally, nationally or internationally.

Combined, the group serves millions of customers every day, with tens of thousands of on-board catering and station retail services every week.",1021858
"INTERNATIONAL WIRE, TRESSE METALLIQUE J.FORISSIER",France,SAINT-CHAMOND,42400,Hall 12,440,Railway Technology,"As a supplier of copper made flexible connections, we are specialized in braiding and extrusion operations. Backed by our unique know-how, our products offer the mechanical and electrical properties required for a wide range of applications.",1041725
Intersys S.r.l.,Italy,Barberino Tavarnelle,50028,Hall 3.1,570,Interiors,"Established in 1998, the company has a manufacturing facility in Barberino Tavarnelle (FI). Intersys is an engineering and  manufacturing company of Lighting systems, Toilette Systems (own proprietary vacuum system) and power sockets.",1021909
Intertech Rail,United States of America,Coral Gables,33146,Hall 27,150,World Innovations; Railway Technology,"Intertech Rail delivers reliable railway technology solutions, including AEI/RFID systems, rail asset tracking, Yard Management software, Switch Machines, Fail-Safe Relays, Balise Systems, and signaling equipment. Trusted by rail operators worldwide for over 20 years.",1021911
Intertoll International Holdings BV,Netherlands,Thw Hague,2517 JK,Hall 11.2,120,Railway Technology,,1226401
intreXis AG,Switzerland,Neuhausen am Rheinfall,8212,Hall 17,165,World Innovations; Railway Technology,"Driven by our passion for technology and performance, here at intreXis, we are constantly researching ways to develop more efficient and improved solutions for our products.That is why intreXis Power Supplies now provides the most complete portfolio for railway applications on the market today...",1021939
Invatec GmbH,Germany,Satteldorf,74589,Hall 26,870,Railway Infrastructure,"invatec was founded in 1997. From innovative plastic cable ducts to patented foundations for signal systems and applications in low-level track-side lighting, to ballast retainers and cable outlet fittings, invatec stands for a different way of thinking and better solutions.",1021946
INVEHO UFO,France,ORVAL,18200,Hall 3.2,270,Railway Infrastructure,"Experts in the railcar freight industry since 1907 and leading European railcar maintenance and manufacturing network, all 10 Inveho workshops spread across Europe and 830 employees operate for all the major actors to meet your needs and make your projects a success!",1021947
INVEKTA s.r.o.,Czechia,Litomyšl,57001,"CityCube, Hall A",235,Railway Infrastructure,"INVEKTA was established in 1992. Our key program is the manufacture of pressure vessels designed for compressed air brakes and auxiliary pneumatic equipment for rail vehicles, and special vessels, especially for mechanical engineering.",1021948
INVEST SELANGOR BERHAD,Malaysia,SHAH ALAM,40000,Hall 10.1,220,Railway Technology,"Invest Selangor Berhad is a one-stop agency that provides information, advisory services, as well as start-up and expansion assistance to potential and existing investors.",1226494
"Invision AI, Inc.",Canada,Toronto,M5B 1J3,Hall 7.1c,100,Railway Technology; AI,See every crossing event. Improve Safety. Reduce operational cost.,1227675
inxire GmbH,Germany,Frankfurt,60314,Hall 6.1,300,Railway Technology,"inxire is a provider of products and services for enterprise digitalization. With our innovative products, we lay the foundation for new digital solutions and enable companies and organizations to unlock their full digitalization potential.",1021972
iRFP e. K.,Germany,Dresden,01069,Hall 7.2b,200,Railway Technology,"We develop and distribute the Timetable Construction System FBS, advise administrations and companies, and stand for knowledge transfer between university research and practical application - for almost 30 years.",1022025
iris-GmbH infrared & intelligent sensors,Germany,Berlin,12439,Hall 2.1,450,Public Transport,"iris high-tech components for automatic passenger counting and video security in public transport vehicles harness the power of data to organise local public transport efficiently, sustainably and safely.",1022030
IRJ,United Kingdom,Falmouth,TR113PP,Hall 6.2,100,Railway Infrastructure,"IRJ – Your one-stop shop for railway news and data
International Railway Journal – IRJ – was launched in 1960 as the world’s first magazine reporting on the railway industry worldwide.  66 years later, IRJ maintains its position as the world’s brightest and best international railway magazine.",1044945
Irmie Impianti S.r.l.,Italy,Villafranca di Verona,37069,Hall 23,620,Railway Technology,"Founded in 1993, Irmie Impianti is now a leading company, at the forefront in the design, manufacture and installations of Test Benches and turnkey solutions for rail and metro applications and plant engineering in general, with an exceptional after-sales service.",1022039
IS3 METALWORKING,Portugal,Campo,4440-014,Hall 11.2,220,Railway Infrastructure,"""We promise our clients high quality, service excellence and good delivery times! Our main aim is DO MORE AND BETTER!""",1227448
ISALAB S.r.l.,Italy,Genova,16121,"CityCube, Hall A",620,Railway Technology,ISALAB SRL is an Inspection body according to ISO/IEC 17020:2026 and a Certification Body for Products/Services/Processes according to EN/ISO/IEC 17065:2012.,1216762
Isarsoft GmbH,Germany,München,81541,Hall 7.1a,235,AI Mobility Lab; Railway Technology,"Isarsoft develops privacy preserving Video Analytics and Smart Camera solutions for passenger counting, platform security and occupancy analysis.",1022060
ISB Ingenieurgesellschaft für Sicherungstechnik und Bau mbH // ISB-Rhein-Main GmbH,Germany,Dresden,01189,Hall 7.2b,200,Railway Technology,We live railways and shape the mobility of tomorrow.,1208976
ISE,Italy,"Vecchiano, Pisa",56019,Hall 5.2,825,Railway Technology,"ISE, part of Consilium Safety Group, is an Italian manufacturer of advanced fire detection and protection systems for the railway industry. With over 30 years of experience, ISE delivers innovative, SIL2-certified solutions that help protect passengers, crew, assets, and infrastructure worldwide.",1226751
ISEF STEEL FORGINGS,Italy,CARNAGO,21040,Hall 20,230,Railway Technology,"ISEF Steel Forgings is a family owned company, with over one century history, focused on hot steel forging of carbon, alloyed and stainless steel also including nickel-based alloys with a range of manufactured products up to 80 kg.",1022073
ISGEV S.p.A.,Italy,Arzignano,36071,Hall 18,600,Railway Technology,"The electric motors we produce for the railway sector are used in all kind of applications on board of trains, such as:- compressors of braking systems- cabin ventilation and air conditioning systems- engine room cooling systems- pumps for fluid circulation equipments",1020794
Isoflex AB,Sweden,Gustafs,78160,Hall 3.1,535,Railway Technology,Isoflex AB - is a well-established global producer and supplier of insulation systems for the rail industry. We provide a wide range of insulation products and solutions to the train manufacturers and operators all over the world.,1022128
ISP SYSTEM,France,Vic en Bigorre,65500,Hall 11.2,270,Railway Technology,"ISP SYSTEM specializes in the design and production of embedded electric actuators. Our multi-disciplinary team meets every challenge, whether related to performance or the environment.",1208309
Istituto Italiano Della Saldatura,Italy,Genova,16141,"CityCube, Hall A",135,Railway Infrastructure,"The IIS Group features a multidisciplinary and versatile structure, consisting of operative divisions specialised in the various sectors of competence, able to offer global services in many industrial sectors.",1022161
ISTOBAL S.A.,Spain,L´Alcudia,46250,Hall 6.2,650,Railway Technology,"ISTOBAL is a professional in manufacturing and marketing gantries and tunnel washing equipment for trains, trams and subways.
For its clients, ISTOBAL designs new facilities and offers different options such as water recycling systems equipment, high pressure arches or chassis and unde...",1022163
IT-TRANS I Karlsruher Messe- und Kongress GmbH,Germany,Karlsruhe,76137,Hall 6.1,130,Public Transport,"IT-TRANS will showcase all the topics that are shaping the future of urban mobility. The next IT-TRANS will take place from 1 to 2 February 2028 in Karlsruhe, Germany.",1110346
ITA-Italian Trade Agency,Italy,Roma,00144,Hall 10.1,170,Interiors,ITA - Italian Trade Agency is the Governmental agency that supports the business development of italian companies abroad and promotes the attraction of foreign investment in Italy.,1020956
Italcarrelli Spa,Italy,CHIAMPO,36072,Hall 6.2,155,Railway Technology; World Innovations,"For handling carriages, axles, engines, and components within large railway mechanical workshops.",1210214
italpres Eredi Zani Bruno s.n.c.,Italy,Lumezzane Gazzolo (BS),25065,Hall 8.1,275,Railway Technology,Aluminium die-casting foundry with in-house die manufacturing,1022198
ITCS Service Support GmbH,Germany,Recklinghausen,45659,Hall 2.1,550,Public Transport,"ITCS Service Support GmbH – Your manufacturer-independent system integrator for public transport. From precise vehicle cabling to turnkey system integration for rail and road, we deliver flexible, future-ready solutions with on-site support across Europe.",1227359
"ITEC Hankyu Hanshin Co., Ltd.",Japan,Osaka,553-0001,Hall 7.2a,100,Railway Technology,"we are iTec Hankyu-Hanshin Co., Ltd. is a frontier of mobility and railway solution system provider/developer/integrator in Japan.",1227311
ITEC Tontechnik und Industrieelektronik Gesellschaft m.b.H.,Austria,Gleisdorf,8200,Hall 21,350,Railway Infrastructure,,1226916
ITH GmbH & Co. KG,Germany,Meschede,59872,Hall 18,590,Tunnel Construction,ITH Bolting Technology is hidden champion for tension and torque tools to tighten and loosen industrial bolt connections bigger than M16 (5/8”).,1022235
ITK Engineering GmbH,Germany,Rülzheim,76761,Hall 20,320,Railway Technology,"As a smart engineering partner, we work with you to rise to the occasion and deliver digital, future-ready software solutions for rolling stock, digital infrastructure, signalling & control technology as well as operation.",1022241
ITORA GmbH,Germany,Dresden,01219,Hall 7.2b,200,Railway Technology,"ITORA – where rail expertise meets AI. We transform complex challenges in rail transport into smart, data-driven software. From consulting to a production-ready solution – intelligent, efficient, sustainable.",1222198
ITSS IBERICA TECNOLOGIA EN SISTEMAS DE SEGURIDAD FERROVIARIOS SL,Spain,Puerto de Sagunto,46520,Hall 22,700,Railway Technology,"Ibérica Tecnologia en sistemas de seguridad ferroviarios SL (ITSS) is proud to present the latest developments in the field of railway monitoring systems,  mainly hot axle box /hot wheel detection, flat wheel detection and weighing in motion.",1141864
ITT Veam,Italy,Lainate,20045,Hall 1.2,180,Railway Technology,ITT Veam is a leading designer and manufacturer of highly engineered connector solutions for rail. We operate on a global basis delivering both off-the-shelf and customized rail-specific solutions. Our customers depend on us to solve their most critical interconnect challenges.,1225783
IVE- Ingenieurgesellschaft für Verkehrs- und Eisenbahnwesen mbH (lVEmbH),Germany,Hannover,30161,Hall 25,180,Railway Infrastructure,"Integration, efficiency and competitiveness of the railway system determine the work of the IVE Ltd. (Consulting Company for Traffic and Railway Engineering Ltd.) in Hanover.",1022269
Ivema-Fahrleitungsbau GmbH,Germany,Mülheim-Ruhr,45472,Hall 22,380,Railway Infrastructure,"In times we live with increase of urbanization cost effective and innovative solutions are allways a must. To step ahead the risk of traffic-collapse and environmental pollution through individual traffic as well, the reliable masstransport with tramsystems seems to be a well solution.To improve...",1022271
